Key,English,Japanese,Vietnamese
TXT_BACK_BIG,BACK,戻る,QUAY VỀ
TXT_LOADING,Loading...,読み込んでいます...,Tải Game...
TXT_SETTING_BIG,SETTING,設定,CÀI ĐẶT
TXT_LANGUAGE_BIG,LANGUAGE,言語,NGÔN NGỮ
TXT_AVATAR,Avatar,アバター,Hình Đại Diện
TXT_EMOTION,Emotion,感情,Biểu Cảm
TXT_COMING_SOON,COMING SOON,近日公開,SẮP RA MẮT
TXT_BODY_BIG,BODY,体,CƠ THỂ
TXT_HEAD_BIG,HEAD,頭,ĐẦU
TXT_TOP_BIG,TOP,アオ,ÁO
TXT_BOTTOM_BIG,BOTTOM,クアン,QUẦN
TXT_SHOES_BIG,SHOES,靴,GIÀY
TXT_ACCESS_BIG,ACCESS,アクセサリー,PHỤ KIỆN
TXT_SKIN_TONE_BIG,SKIN-TONE,スキントーン,MÀU DA
TXT_CHARACTERS_BIG,CHARACTERS,キャラクター,NHÂN VẬT
TXT_MALE_BIG,MALE,男,NAM
TXT_FEMALE_BIG,FEMALE,女性,NỮ
TXT_BEARD_BIG,BEARD,ひげ,RÂU
TXT_HAIR_BIG,HAIR,髪,TÓC
TXT_BEARD_COLOR,BEARD COLOR,ひげの色,MÀU RÂU
TXT_BEARD_STYLE,BEARD STYLE,ひげのスタイル,KIỂU RÂU
TXT_HAIR_COLOR_BIG,HAIR COLOR,髪の色,MÀU TÓC
TXT_HAIR_STYLE_BIG,HAIR STYLE,ヘアスタイル,KIỂU TÓC
TXT_STYLE_BIG,STYLE,スタイル,KIỂU DÁNG
TXT_GLASS_BIG,GLASS,ガラス,MẮT KÍNH
TXT_GLASSES_STYLE_BIG,GLASSES STYLE,メガネスタイル,KIỂU MẮT KÍNH
TXT_HAT_BIG,HAT,帽子,MŨ
TXT_HAT_STYLE_BIG,HAT STYLE,帽子のスタイル,KIỂU MŨ
TXT_BAG_BIG,BAG,バッグ,TÚI
TXT_BAG_STYLE_BIG,BAG STYLE,バッグスタイル,KIỂU TÚI
TXT_ROTATION,Rotation,回転する,Xoay
TXT_CONNECT_YOUR_WALLET_OR_ACCOUNT_GUEST_BIG,CONNECT YOUR WALLET OR GUEST ACCOUNT,ウォレットまたはゲスト アカウントを接続する,KẾT NỐI QUA VÍ HOẶC TÀI KHOẢN CHƠI THỬ
TXT_PLAY_USING_YOUR_WALLET_BIG,PLAY USING YOUR WALLET ,お財布を使って遊ぶ,SỬ DỤNG VÍ CỦA BẠN
TXT_CONNECT_YOUR_ACCOUNT_TO_FULLY_ENJOY_VRTOWN,Connect your account to fully enjoy VR-Town,アカウントを接続して VR-Town を存分にお楽しみください,Kết nối tài khoản ví của bạn để tận hưởng trọn vẹn VR-Town
TXT_CONNECT_WITH_WALLET_BIG,CONNECT WITH WALLET,ウォレットに接続,Kết nối với ví điện tử
TXT_PLAY_AS_GUEST_BIG,PLAY AS GUEST,ゲストとして遊ぶ,CHƠI BẰNG TÀI KHOẢN CHƠI THỬ
TXT_YOUR_INFORMATION_WILL_BE_LOCALLY_STORED_AND_YOUR_EXPERIENCE_LIMITED,Your information will be locally stored and your experience limited,あなたの情報はローカルに保存され、あなたの経験は制限されます,Thông tin của bạn sẽ lưu trữ cục bộ với trải nghiệm hạn chế
TXT_CONNECT_AS_GUEST_BIG,CONNECT AS GUEST ,ゲストとして接続,Kết nối với tài khoản chơi thử
TXT_CONNECT_WITH_METAMASK_BIG,CONNECT WITH METAMASK...,METAMASKとつなが......,Kết nối với METAMASK
TXT_EMAIL_BIG,EMAIL,Eメール,Email
TXT_ENTER_YOUR_EMAIL,Enter your email,メールアドレスを入力してください,Nhập email của bạn
TXT_LOGIN_BIG,LOGIN,ログイン,ĐĂNG NHẬP
TXT_WELCOME_NEW_USERS,_PLEASE_ENTER_YOUR_DISPLAY_NAME_BIG,WELLCOME NEW USERS, PLEASE ENTER YOUR DISPLAY NAME,新しいユーザーへようこそ、あなたの表示名を入力してください,"Chào mừng người dùng mới, vui lòng nhập tên hiển thị của bạn"
TXT_ENTER_YOUR_NICK_NAME,Enter your nick name,あなたのニックネームを入力します,Nhập biệt danh của bạn
TXT_OK_BIG,OK,OK,OK
TXT_JOIN_VOICE_CHAT_BIG,JOIN VOICE CHAT,ボイスチャットに参加,KẾT NỐI VOICE CHAT
TXT_JOIN_SUNLOFT_VOICE_CHAT_BIG,JOIN SUNLOFT VOICE CHAT,SUNLOFT ボイスチャットに参加,KẾT NỐI SUNLOFT VOICE CHAT
TXT_END_CALL_BIG,END CALL,通話終了,KẾT THÚC VOICE CHAT
TXT_MAP,Map,地図,Bản đồ
TXT_#GLOBAL_BIG,#GLOBAL,#グローバル,#TOÀN CẦU
TXT_#NEARBY_BIG,#NEARBY,#近く,#XUNG QUANH
TXT_#COMING_SOON,#COMING SOON,#近日公開,#SẮP RA MẮT
TXT_ENTER_TEXT,Enter text,テキストを入力,Nhập chữ
TXT_SENT_BIG,SENT,送信済,GỬI
TXT_#VOICE_CHAT_BIG,#VOICE CHAT,#ボイスチャット,#VOICE CHAT
TXT_LEAVE_BIG,LEAVE,離れる,RỜI KHỎI
TXT_MUTE_ALL,Mute all,すべてミュート,Tắt tiếng tất cả
TXT_HOST_BIG,HOST,ホスト,CHỦ PHÒNG
TXT_AUDIENCE_BIG,AUDIENCE,観客,KHÁN GIẢ
TXT_STREAMING_BIG,STREAMING,ストリーミング,PHÁT TRỰC TIẾP
TXT_LIVE_SCREEN_BIG,LIVE SCREEN,ライブ画面,MÀN HÌNH PHÁT SÓNG
TXT_PASS_WORD_BIG,PASSWORD,パスワード,MẬT KHẨU
TXT_#LIST_AUDIENCE_BIG,#LIST AUDIENCE,#リストオーディエンス,#DANH SÁCH NGƯỜI XEM